localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:34] "GET /BBSS/userController/js/jquery.min.js HTTP/1.1" 404 320 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:34] "GET /BBSS/userController/js/bootstrap.min.js HTTP/1.1" 404 323 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:34] "GET /BBSS/userController/images/01.jpg HTTP/1.1" 404 317 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:34] "GET /favicon.ico HTTP/1.1" 200 1150 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" -
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/userController/login HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/resources/css/bootstrap.min.css HTTP/1.1" 404 320 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/userController/js/scripts.js HTTP/1.1" 404 317 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/resources/Font-Awesome/css/font-awesome.min.css HTTP/1.1" 404 336 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/resources/images/01.jpg HTTP/1.1" 404 312 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/userController/js/jquery.min.js HTTP/1.1" 404 320 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/userController/js/bootstrap.min.js HTTP/1.1" 404 323 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:36] "GET /BBSS/userController/images/01.jpg HTTP/1.1" 404 317 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:41] "GET /BBSS/resources/css/bootstrap.min.css HTTP/1.1" 404 320 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:41] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:39:41] "GET /BBSS/resources/Font-Awesome/css/font-awesome.min.css HTTP/1.1" 404 336 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/userController/login HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=10y30otx3x53hnofe1mvl4vk9"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/resources/Font-Awesome/css/font-awesome.min.css HTTP/1.1" 404 336 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/userController/js/bootstrap.min.js HTTP/1.1" 404 323 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/resources/images/01.jpg HTTP/1.1" 404 312 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/resources/css/bootstrap.min.css HTTP/1.1" 404 320 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/userController/js/scripts.js HTTP/1.1" 404 317 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:42] "GET /BBSS/userController/js/jquery.min.js HTTP/1.1" 404 320 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:43] "GET /BBSS/userController/images/01.jpg HTTP/1.1" 404 317 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=f2omvvi5nm1y14lle73xlzi8e"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-13 11:40:43] "GET /favicon.ico HTTP/1.1" 200 1150 "http://localhost:8081/BBSS/userController/login" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" -
